exp,phi_0,dV_ges,eps_0,h_dp_max,h_w_0,V_dp,Sep. Eff.,status
5mmol_30C,0.000743565,1505.564556,0.500495951,0.02549999,0.091281444,0.019063462906521108,1.0,success
5mmol_30C,0.000792247,1501.102268,0.500037642,0.026181453,0.091722809,0.01806014733581702,1.0,success
5mmol_30C,0.000859751,1494.673636,0.500000991,0.026915963,0.09193442,0.017005259084783352,1.0,success
5mmol_30C,0.000702358,1507.266277,0.400776022,0.020475186,0.095246531,0.015593210494125525,1.0,success
5mmol_30C,0.000673997,1497.84715,0.399699582,0.021077842,0.094840091,0.01589058401312681,1.0,success
5mmol_30C,0.000612475,1494.370199,0.399708235,0.020777276,0.094596124,0.016809573658590985,1.0,success
5mmol_30C,0.000594114,1495.096084,0.399581026,0.020836259,0.094314624,0.0170813723301701,1.0,success
5mmol_30C,0.000614664,1502.497268,0.40017337,0.020735538,0.094777095,0.01688372502023913,1.0,success
5mmol_30C,0.000661629,1504.546408,0.400747698,0.022464746,0.094852504,0.015995074449594842,1.0,success
5mmol_30C,0.000598133,1499.687325,0.300138854,0.019020628,0.105815622,0.011538331817623393,1.0,success
5mmol_30C,0.000581599,1499.466933,0.300504127,0.024834759,0.114941913,0.010345557496860096,1.0,success
5mmol_30C,0.000526169,1500.087412,0.300071251,0.019110674,0.129153109,0.009324602975721945,1.0,success
5mmol_30C,0.000504985,1499.740829,0.300041644,0.021812229,0.135209721,0.008765760194581534,1.0,success
5mmol_30C,0.000511394,1499.81057,0.30000299,0.025789294,0.141871972,0.008132243350085833,1.0,success
5mmol_30C,0.000536695,1499.842108,0.300058331,0.026643176,0.148971815,0.007349760132723982,1.0,success
5mmol_30C,0.000717496,2009.693963,0.500504679,0.028744255,0.088546012,0.023228062930683576,1.0,success
5mmol_30C,0.000706847,2002.74725,0.500114825,0.027856384,0.089643099,0.022937244596252584,1.0,success
5mmol_30C,0.000693917,2000.386241,0.499961419,0.027173981,0.089105503,0.023059595271076903,1.0,success
5mmol_30C,0.000681172,1999.619482,0.499988817,0.026883538,0.088787929,0.023134551519337052,1.0,success
5mmol_30C,0.000678728,2005.000489,0.499839059,0.026575871,0.088617395,0.02317075181055992,1.0,success
5mmol_30C,0.000719501,2002.904056,0.500128712,0.026791129,0.089807804,0.022877892722346655,1.0,success
5mmol_30C,0.000615759,1999.976712,0.400015793,0.023810701,0.093052383,0.02220985355242654,1.0,success
5mmol_30C,0.000603898,1999.767779,0.400113352,0.023536506,0.090973494,0.02273085442736927,1.0,success
5mmol_30C,0.000572842,2000.406159,0.400022675,0.025438158,0.089342075,0.023130814056340068,1.0,success
