exp,phi_0,dV_ges,eps_0,h_dp_0,h_w_0,V_dp,Sep. Eff.,L_dp,dpz_flooded,status,h_dpz_0,h_dpz_1,h_dpz_2
2mmol_30C,0.0007672458443526,1498.859949352751,0.4999585709084858,0.0249653391198602,0.0923786486312712,0.008743296398424657,1.0,0.507,False,success,0.02380493753122502,0.02380493753122502,0.0
15mmol_20C,0.0004643312100543,1255.424561003236,0.3998944338746381,0.0316027064275762,0.1047591530838143,0.019188133000666567,1.0,1.3,True,success,0.046055100526585374,0.046055100526585374,0.0
15mmol_30C,0.0004627635525306,745.8762555016181,0.5006161939249868,0.0438557420664131,0.0935540203345874,0.014361829102761646,1.0,0.845,False,success,0.04380476637046478,0.04380476637046478,0.0
2mmol_30C,0.0007061775702968,1497.17051197411,0.4999023241630762,0.0264717894736842,0.0915881531073897,0.009160682684560642,1.0,0.5265,False,success,0.025466172702820797,0.025466172702820797,0.0
15mmol_30C,0.0006429602372548,1008.9897056634304,0.499187525574515,0.0372888684782608,0.1064073224338624,0.014550392905874036,1.0,1.0075,False,success,0.03724635435039088,0.03724635435039088,0.0
10mmol_30C,0.0003602257731701,755.7630906957929,0.3990199860608711,0.0269845499852584,0.110368596713114,0.013917690968052907,1.0,1.0205,False,success,0.02686121514176046,0.02686121514176046,0.0
5mmol_30C,0.0007966390999504,1500.334628964401,0.5000198842824538,0.0279231363636363,0.0923053141210075,0.0072895543421692315,1.0,0.4225,False,success,0.027108699358680224,0.027108699358680224,0.0
2mmol_21C,0.000595618199435,1007.0927,0.300563236353818,0.0265932507936508,0.1001188548809523,0.012641615647323814,1.0,0.806,False,success,0.026525052587152848,0.026525052587152848,0.0
5mmol_30C,0.0006811718052369,1999.619482200648,0.4999888168292414,0.0301781104573627,0.088787928779962,0.010970886501931197,1.0,0.611,False,success,0.029325439680257664,0.029325439680257664,0.0
10mmol_30C,0.0003212450697733,756.7846559870549,0.301654369615334,0.0272333787142562,0.1065200839174713,0.011516754530948503,1.0,0.7995,False,success,0.02716327386360616,0.02716327386360616,0.0
10mmol_21C,0.0005248072580817,1254.1137689320387,0.4010629984931583,0.0312365110545115,0.1049000156969419,0.019141973911774753,1.0,1.3,True,success,0.041820065948130716,0.041820065948130716,0.0
ye,0.000309957,280.0,0.1,0.04,0.1,0.001287850192315153,1.0,0.10920000000000002,False,success,0.039471811992947754,0.039471811992947754,0.0
2mmol_30C,0.000521471974012,1500.3272006472496,0.3002948538790957,0.0166039026190476,0.1266663666666666,0.004615221480496085,1.0,0.442,False,success,0.016073389042105896,0.016073389042105896,0.0
ye,0.000431,160.0,0.2,0.04,0.1,0.0012882669860442954,1.0,0.10920000000000002,False,success,0.03971684764842102,0.03971684764842102,0.0
2mmol_21C,0.0006951008675881,2001.264875566344,0.4000326327947462,0.046956,0.0993604538386783,0.02077258007672594,1.0,1.3,True,success,0.10035476386881916,0.10035476386881916,0.0
15mmol_20C,0.0004142618945353,1006.6231196440132,0.5007902148216578,0.0302788246753246,0.108647545979021,0.018233500070343727,1.0,1.3,True,success,0.0578209163634085,0.0578209163634085,0.0
10mmol_21C,0.0004846480729366,1249.761606148867,0.3000612387714899,0.0294162134266557,0.1078519281752772,0.015808409177129175,1.0,1.1179999999999999,False,success,0.028903365801329642,0.028903365801329642,0.0
15mmol_30C,0.0004779534692433,1001.2921626213592,0.3000605466057129,0.0316185613347146,0.1057854758793058,0.010309911539713185,1.0,0.7085000000000001,False,success,0.03132462452761926,0.03132462452761926,0.0
15mmol_30C,0.0002647629081632,744.8717234627832,0.2993122947585626,0.0220810808344676,0.1042543827310652,0.010527090659540406,1.0,0.7085000000000001,False,success,0.02165944109697092,0.02165944109697092,0.0
10mmol_21C,0.0002046213415225,743.1017009708738,0.2970189337498062,0.036558696579767,0.096633421772348,0.015119846634077418,1.0,0.9229999999999999,False,success,0.03623842639994759,0.03623842639994759,0.0
15mmol_20C,0.0003230636703783,744.0948703883495,0.2990473947854036,0.0357769860642135,0.099846621048396,0.011764654976681192,1.0,0.7475,False,success,0.03561613452186366,0.03561613452186366,0.0
ye,0.001278,280.0,0.2,0.04,0.1,0.0013546011331304984,1.0,0.1148,False,success,0.03996011887855832,0.03996011887855832,0.0
2mmol_21C,0.0007418070880366,1500.2152653721682,0.3999397663269279,0.0345381666666666,0.0977668173333333,0.02098554484315624,1.0,1.3,True,success,0.042111260587592736,0.042111260587592736,0.0
10mmol_21C,0.0003308491945632,1239.4632069579286,0.3991156514589274,0.0365192499444999,0.1087117456156806,0.018347169000900228,1.0,1.3,True,success,0.09101773345521222,0.09101773345521222,0.0
10mmol_30C,0.0004900184861833,1000.7560826860844,0.3000354503635074,0.0355390581711938,0.108222651543549,0.012067967577178226,1.0,0.858,False,success,0.035383444556152346,0.035383444556152346,0.0
2mmol_30C,0.0006904907695254,1504.5517301779937,0.3999747016050964,0.0225364532271241,0.0949953651563401,0.0073905911028328015,1.0,0.442,False,success,0.021392415499229947,0.021392415499229947,0.0
5mmol_30C,0.0005113940611184,1499.810570388349,0.3000029898914364,0.0203558759259259,0.1418719722222222,0.003263137770603118,1.0,0.429,False,success,0.019744321823886413,0.019744321823886413,0.0
10mmol_21C,0.0003478200915764,1249.9720524271845,0.2999961854159247,0.0374498993055555,0.1097543914445277,0.017894176918640047,1.0,1.3,True,success,0.04015300777940828,0.04015300777940828,0.0
