exp,phi_0,dV_ges,eps_0,h_dp_max,h_w_0,V_dp,Sep. Eff.,L_dp,status,h_dpz_0,h_dpz_1,h_dpz_2
ye,0.000294,280.0,0.2,0.0,0.0,0.0026096246874171784,1.0,0.2212,success,0.039738937947115506,0.039738937947115506,0.0
ye,0.000337,280.0,0.2,0.0,0.0,0.0024778219245426983,1.0,0.21000000000000005,success,0.03988685304538527,0.03988685304538527,0.0
ye,0.000402,280.0,0.2,0.0,0.0,0.0023443949517814593,1.0,0.19880000000000003,success,0.03942974890991494,0.03942974890991494,0.0
ye,0.000497,280.0,0.2,0.0,0.0,0.002146895132018988,1.0,0.18200000000000002,success,0.039631736492782545,0.039631736492782545,0.0
ye,0.000617,280.0,0.2,0.0,0.0,0.0019492013573996789,1.0,0.16520000000000004,success,0.039872322175751776,0.039872322175751776,0.0
ye,0.0008,280.0,0.2,0.0,0.0,0.001749966973018807,1.0,0.1484,success,0.03939960654721248,0.03939960654721248,0.0
ye,0.001099,280.0,0.2,0.0,0.0,0.001486140797600081,1.0,0.126,success,0.03954110192016185,0.03954110192016185,0.0
ye,0.001278,280.0,0.2,0.0,0.0,0.0013546011331304984,1.0,0.1148,success,0.03996011887855832,0.03996011887855832,0.0
niba1,0.0007,2050.0,0.3,0.0,0.0,0.010918186880981992,1.0,0.695,success,0.029720832828486005,0.029720832828486005,0.0
niba1,0.000905,2350.0,0.5,0.0,0.0,0.015933677928032613,1.0,1.0,success,0.1001285972753142,0.1001285972753142,0.0
niba2,0.0006325,1600.0,0.3,0.0,0.0,0.006521634052460139,1.0,0.415,success,0.028532782812426896,0.028532782812426896,0.0
niba2,0.0006075,1500.0,0.3,0.0,0.0,0.006205492833158346,1.0,0.395,success,0.02947000189195996,0.02947000189195996,0.0
niba2,0.000738,1450.0,0.5,0.0,0.0,0.008957028280250495,1.0,0.57,success,0.029189268285470943,0.029189268285470943,0.0
niba2,0.000865,1850.0,0.5,0.0,0.0,0.010376058791391854,1.0,0.66,success,0.02878223918677346,0.02878223918677346,0.0
niba3,0.0006275,1600.0,0.3,0.0,0.0,0.007933436308172294,1.0,0.505,success,0.0295890200133547,0.0295890200133547,0.0
niba3,0.000585,1450.0,0.3,0.0,0.0,0.007461525623617635,1.0,0.475,success,0.02986440756827005,0.02986440756827005,0.0
niba3,0.0007075,1400.0,0.5,0.0,0.0,0.010843599793546894,1.0,0.69,success,0.028977155964352366,0.028977155964352366,0.0
niba3,0.000635,1150.0,0.5,0.0,0.0,0.009424939506861121,1.0,0.6,success,0.029948827268844458,0.029948827268844458,0.0
niba4,0.0006675,1600.0,0.3,0.0,0.0,0.006677274612505066,1.0,0.425,success,0.029297014135341484,0.029297014135341484,0.0
niba4,0.0006303,1500.0,0.3,0.0,0.0,0.0064404756846511025,1.0,0.41,success,0.029874391064805814,0.029874391064805814,0.0
niba4,0.0007225,1350.0,0.5,0.0,0.0,0.008955347753815155,1.0,0.57,success,0.029538681173460757,0.029538681173460757,0.0
niba4,0.0006725,1200.0,0.5,0.0,0.0,0.00832773353363425,1.0,0.53,success,0.02920145686234353,0.02920145686234353,0.0
